lemma,genus,pl_form,pl_class,split,m95_rhyme
fluchtrichtung,f,fluchtrichtungen,en,train,
fluchtroute,f,fluchtrouten,n,train,
fluchtsteg,m,fluchtstege,e,train,
fluchtszene,f,fluchtszenen,n,train,
fluchttendenz,f,fluchttendenzen,en,train,
fluchttor,n,fluchttore,e,train,
fluchttreppe,f,fluchttreppen,n,train,
fluchttrieb,m,fluchttriebe,e,val,
fluchttunnel,m,fluchttunnel,zero,test,
fluchttür,f,fluchttüren,en,train,
fluchtunfähigkeit,f,–,other,train,
fluchtunternehmen,n,fluchtunternehmen,zero,train,
fluchtursache,f,fluchtursachen,n,train,
fluchtversuch,m,fluchtversuche,e,train,
fluchtvorbereitung,f,fluchtvorbereitungen,en,train,
fluchtwagen,,fluchtwagen,zero,val,
fluchtwagen,,fluchtwägen,umlaut_zero,train,
fluchtweg,m,fluchtwege,e,test,
fluchtwelle,f,fluchtwellen,n,train,
fluchtwährung,f,fluchtwährungen,en,train,
fluchtzeit,f,fluchtzeiten,en,train,
fluchtziel,n,fluchtziele,e,train,
fluchwort,,fluchwörter,umlaut_er,train,
fluchwort,,fluchworte,e,val,
fluder,n,fluder,zero,train,
flug,m,flüge,umlaut_e,train,
flugabwehrkanone,f,flugabwehrkanonen,n,test,
flugabwehrpanzer,m,flugabwehrpanzer,zero,train,
flugabwehrrakete,f,flugabwehrraketen,n,train,
flugbahn,f,flugbahnen,en,train,
flugbegleiter,m,flugbegleiter,zero,train,
flugbegleiterin,f,flugbegleiterinnen,nen,val,
flugbetrieb,m,flugbetriebe,e,train,
flugbild,n,flugbilder,er,train,
flugblatt,n,flugblätter,umlaut_er,train,
flugboot,n,flugboote,e,test,ot
flugbuch,n,flugbücher,umlaut_er,train,
flugdaten,,flugdaten,zero,train,
flugdatenschreiber,m,flugdatenschreiber,zero,train,
flugdauer,f,flugdauern,n,val,
flugente,f,flugenten,n,train,
fluggast,m,fluggäste,umlaut_e,train,
fluggesellschaft,f,fluggesellschaften,en,train,
flughafen,m,flughäfen,umlaut_zero,train,
flughafenbetreiber,m,flughafenbetreiber,zero,test,
flughafengebühr,f,flughafengebühren,en,train,
flughafengelände,n,flughafengelände,zero,train,
flughafenpostamt,n,flughafenpostämter,umlaut_er,val,
flughafenrestaurant,n,flughafenrestaurants,s,train,
flughafenterminal,,flughafenterminals,s,train,al
flughafenterrasse,f,flughafenterrassen,n,train,
flughafentransfer,m,flughafentransfers,s,train,
flughund,m,flughunde,e,train,und
flugkapitän,m,flugkapitäne,e,test,
flugkopfball,m,flugkopfbälle,umlaut_e,train,
fluglinie,f,fluglinien,n,val,
fluglotse,m,fluglotsen,n,train,
fluglotsenstreik,m,fluglotsenstreiks,s,train,eik
fluglotsenstreik,m,fluglotsenstreike,e,train,eik
fluglotsin,f,fluglotsinnen,nen,train,
fluglärmbelastung,f,fluglärmbelastungen,en,train,
flugminute,f,flugminuten,n,train,
flugpassagier,m,flugpassagiere,e,test,
flugplatz,m,flugplätze,umlaut_e,val,
flugplatzgelände,n,flugplatzgelände,zero,train,
flugpostmarke,f,flugpostmarken,n,train,
flugpreis,m,flugpreise,e,train,
flugreise,f,flugreisen,n,train,
flugreisender,,flugreisende,other,train,
flugreisender,,flugreisenden,other,train,
flugreisender,,flugreisende,other,train,
flugroute,f,flugrouten,n,test,
flugsaurier,m,flugsaurier,zero,train,
flugschau,f,flugschauen,en,train,
flugschein,m,flugscheine,e,train,
flugschreiber,m,flugschreiber,zero,train,
flugschrift,f,flugschriften,en,train,
flugschule,f,flugschulen,n,train,
flugsicherung,f,flugsicherungen,en,train,
flugsteig,m,flugsteige,e,val,
flugstrecke,f,flugstrecken,n,test,
flugstunde,f,flugstunden,n,train,
flugtaxi,n,flugtaxis,s,train,
flugticket,n,flugtickets,s,train,
flugtier,n,flugtiere,e,train,
flugunfall,m,flugunfälle,umlaut_e,train,
flugverbot,n,flugverbote,e,train,ot
flugverbotszone,f,flugverbotszonen,n,val,
flugverlauf,m,flugverläufe,umlaut_e,train,
flugversuch,m,flugversuche,e,test,
flugzeit,f,flugzeiten,en,train,
flugzeug,n,flugzeuge,e,train,
flugzeugabsturz,m,flugzeugabstürze,umlaut_e,train,
flugzeugbesatzung,f,flugzeugbesatzungen,en,train,
flugzeugentführer,m,flugzeugentführer,zero,train,
flugzeugentführerin,f,flugzeugentführerinnen,nen,val,
flugzeugentführung,f,flugzeugentführungen,en,train,
flugzeugfabrik,f,flugzeugfabriken,en,train,
flugzeugflotte,f,flugzeugflotten,n,test,
flugzeugführerschein,m,flugzeugführerscheine,e,train,
flugzeughangar,m,flugzeughangars,s,train,
flugzeugindustrie,f,flugzeugindustrien,n,train,
flugzeugmodell,n,flugzeugmodelle,e,train,
flugzeugmotor,m,flugzeugmotoren,en,val,
flugzeugpilot,m,flugzeugpiloten,en,train,ot
flugzeugproduktion,f,flugzeugproduktionen,en,train,
flugzeugpropeller,m,flugzeugpropeller,zero,train,
flugzeugreifen,m,flugzeugreifen,zero,test,
flugzeugrumpf,m,flugzeugrümpfe,umlaut_e,train,
flugzeugträger,m,flugzeugträger,zero,train,
flugzeugunglück,n,flugzeugunglücke,e,train,
flugzeugwrack,n,flugzeugwracks,s,val,
flugzeugwrack,n,flugzeugwracke,e,train,
fluh,f,flühe,umlaut_e,train,
fluid,,fluide,e,train,
fluid,,fluids,s,train,
fluidenergiemaschine,f,fluidenergiemaschinen,n,test,
fluidum,n,fluida,other,train,
fluke,f,fluken,n,train,
fluktuation,f,fluktuationen,en,val,
flummi,m,flummis,s,train,
flunder,f,flundern,n,train,
flunken,m,flunken,zero,train,
flunkyball,m,–,other,train,
flunsch,f,flunschen,en,train,
fluoratom,n,fluoratome,e,test,
fluorchlorkohlenwasserstoff,m,fluorchlorkohlenwasserstoffe,e,train,
fluoreszenz,f,fluoreszenzen,en,val,
fluoreszenzlampe,f,fluoreszenzlampen,n,train,
fluoreszenzmikroskop,n,fluoreszenzmikroskope,e,train,
fluorgehalt,m,fluorgehalte,e,train,
fluorverbindung,f,fluorverbindungen,en,train,
fluorvergiftung,f,fluorvergiftungen,en,train,
fluppe,f,fluppen,n,train,
flur,f,fluren,en,test,ur
flurbereinigung,f,flurbereinigungen,en,val,
flurbuch,n,flurbücher,umlaut_er,train,
flurförderzeug,n,flurförderzeuge,e,train,
flurgang,m,flurgänge,umlaut_e,train,
flurgraben,m,flurgräben,umlaut_zero,train,
flurhüter,m,flurhüter,zero,train,
flurkapelle,f,flurkapellen,n,train,
flurkarte,f,flurkarten,n,train,
flurlüftung,f,flurlüftungen,en,test,
flurname,m,flurnamen,n,train,
flurprozession,f,flurprozessionen,en,train,
flurschaden,m,flurschäden,umlaut_zero,train,
flurschütz,m,flurschützen,en,train,
flurstein,m,flursteine,e,train,
flurstück,n,flurstücke,e,train,
flurvermessung,f,flurvermessungen,en,train,
flurwärter,m,flurwärter,zero,val,
flurzaun,m,flurzäune,umlaut_e,test,aun
fluse,f,flusen,n,train,
fluss,m,flüsse,umlaut_e,train,
flussaal,m,flussaale,e,train,al
flussarm,m,flussarme,e,train,
flussbett,,flussbetten,en,train,
flussbett,,flussbette,e,train,
flussdiagramm,n,flussdiagramme,e,val,
flussfisch,m,flussfische,e,train,isch
flussgebietseinheit,f,flussgebietseinheiten,en,test,
flussgeist,m,flussgeister,er,train,
flussgrund,m,flussgründe,umlaut_e,train,und
flusshafen,m,flusshäfen,umlaut_zero,train,
flusshändler,m,flusshändler,zero,train,
flusskrebs,m,flusskrebse,e,train,
flusslauf,m,flussläufe,umlaut_e,val,
flussmarschboden,m,flussmarschböden,umlaut_zero,train,
flussmitte,f,flussmitten,n,train,
flussmündung,f,flussmündungen,en,test,
flussname,m,flussnamen,n,train,
flussniederung,f,flussniederungen,en,train,
flusspferd,n,flusspferde,e,train,
flusspferdhaut,f,flusspferdhäute,umlaut_e,train,
flussregenpfeifer,m,flussregenpfeifer,zero,val,
flussschiff,n,flussschiffe,e,train,
flussseeschwalbe,f,flussseeschwalben,n,train,
flussseite,f,flussseiten,n,train,
flussspat,,flussspate,e,test,
flussspat,,flussspäte,umlaut_e,train,
flussufer,n,flussufer,zero,train,
flusswasser,,flusswasser,zero,train,
flusswasser,,flusswässer,umlaut_zero,val,
flut,f,fluten,en,train,
flutdauer,f,flutdauern,n,train,
flutgebiet,n,flutgebiete,e,train,
flutkatastrophe,f,flutkatastrophen,n,train,
flutlicht,n,flutlichter,er,test,
flutopfer,n,flutopfer,zero,train,
flutwelle,f,flutwellen,n,train,
flußbett,,flußbetten,en,val,
flußbett,,flußbette,e,train,
flyer,m,flyer,zero,train,
fläche,f,flächen,n,train,
flächenberechnung,f,flächenberechnungen,en,train,
flächenbombardement,n,flächenbombardements,s,train,
flächenbrand,m,flächenbrände,umlaut_e,test,and
flächeninhalt,m,flächeninhalte,e,train,
flächenland,n,flächenländer,umlaut_er,val,and
flächenmaß,n,flächenmaße,e,train,
flächennutzungsplan,m,flächennutzungspläne,umlaut_e,train,
flächenstaat,m,flächenstaaten,en,train,
flädle,n,flädle,zero,train,
flädlesuppe,f,flädlesuppen,n,train,
flämen,f,flämen,zero,train,
fläschchen,n,fläschchen,zero,test,
fläz,m,fläze,e,val,
flöte,f,flöten,n,train,
flötenkessel,m,flötenkessel,zero,train,
flötenquartett,n,flötenquartette,e,train,
flötenspieler,m,flötenspieler,zero,train,
flötenspielerin,f,flötenspielerinnen,nen,train,
flötenton,m,flötentöne,umlaut_e,train,
flötist,m,flötisten,en,train,
flötistin,f,flötistinnen,nen,test,
flöz,,flöze,e,train,
flößer,m,flößer,zero,train,
flößerei,f,flößereien,en,train,
flüchtigkeit,f,flüchtigkeiten,en,train,
flüchtigkeitsfehler,m,flüchtigkeitsfehler,zero,train,
flüchtling,m,flüchtlinge,e,train,
flüchtlingsabkommen,n,flüchtlingsabkommen,zero,train,
flüchtlingsamt,n,flüchtlingsämter,umlaut_er,val,
flüchtlingsangelegenheit,f,flüchtlingsangelegenheiten,en,test,
flüchtlingsanwalt,m,flüchtlingsanwälte,umlaut_e,train,
flüchtlingsarbeitskreis,m,flüchtlingsarbeitskreise,e,train,
flüchtlingsarzt,m,flüchtlingsärzte,umlaut_e,train,
flüchtlingsausweis,m,flüchtlingsausweise,e,train,
flüchtlingsbegriff,m,flüchtlingsbegriffe,e,train,
flüchtlingsbehörde,f,flüchtlingsbehörden,n,train,
flüchtlingsberater,m,flüchtlingsberater,zero,val,
flüchtlingsberaterin,f,flüchtlingsberaterinnen,nen,train,
flüchtlingsberatung,f,flüchtlingsberatungen,en,test,
flüchtlingsberatungsstelle,f,flüchtlingsberatungsstellen,n,train,
flüchtlingsbereich,m,flüchtlingsbereiche,e,train,
flüchtlingsbericht,m,flüchtlingsberichte,e,train,
flüchtlingsbetreuer,m,flüchtlingsbetreuer,zero,train,
flüchtlingsbetreuerin,f,flüchtlingsbetreuerinnen,nen,train,
flüchtlingsbewegung,f,flüchtlingsbewegungen,en,val,
flüchtlingsboot,n,flüchtlingsboote,e,train,ot
flüchtlingsbüro,n,flüchtlingsbüros,s,train,
flüchtlingscafé,n,flüchtlingscafés,s,test,
flüchtlingscamp,n,flüchtlingscamps,s,train,
flüchtlingsdienst,m,flüchtlingsdienste,e,train,
flüchtlingsdorf,n,flüchtlingsdörfer,umlaut_er,train,
flüchtlingsdrama,n,flüchtlingsdramen,other,train,
flüchtlingsexperte,m,flüchtlingsexperten,n,val,
flüchtlingsfamilie,f,flüchtlingsfamilien,n,train,
flüchtlingsflut,f,flüchtlingsfluten,en,train,
flüchtlingsfrau,f,flüchtlingsfrauen,en,train,
flüchtlingsgebiet,n,flüchtlingsgebiete,e,test,
flüchtlingsgesetz,n,flüchtlingsgesetze,e,train,
flüchtlingsgespräch,n,flüchtlingsgespräche,e,train,
flüchtlingsgruppe,f,flüchtlingsgruppen,n,train,
flüchtlingshaus,n,flüchtlingshäuser,umlaut_er,val,
flüchtlingsheer,n,flüchtlingsheere,e,train,
flüchtlingsheim,n,flüchtlingsheime,e,train,
flüchtlingshelfer,m,flüchtlingshelfer,zero,train,
flüchtlingshelferin,f,flüchtlingshelferinnen,nen,train,
flüchtlingshilfe,f,flüchtlingshilfen,n,test,
flüchtlingshilfegesetz,n,flüchtlingshilfegesetze,e,train,
flüchtlingshilfegruppe,f,flüchtlingshilfegruppen,n,train,
flüchtlingshilfswerk,n,flüchtlingshilfswerke,e,val,
flüchtlingshochkommissar,m,flüchtlingshochkommissare,e,train,
flüchtlingshochkommissarin,f,flüchtlingshochkommissarinnen,nen,train,
flüchtlingsinitiative,f,flüchtlingsinitiativen,n,train,
flüchtlingsjunge,m,flüchtlingsjungen,n,train,
flüchtlingsjurist,m,flüchtlingsjuristen,en,train,
flüchtlingskatastrophe,f,flüchtlingskatastrophen,n,test,
flüchtlingskind,n,flüchtlingskinder,er,train,ind
flüchtlingskolonne,f,flüchtlingskolonnen,n,val,
flüchtlingskomitee,n,flüchtlingskomitees,s,train,
flüchtlingskommissar,m,flüchtlingskommissare,e,train,
flüchtlingskommissariat,n,flüchtlingskommissariate,e,train,
flüchtlingskommissarin,f,flüchtlingskommissarinnen,nen,train,
flüchtlingskommission,f,flüchtlingskommissionen,en,train,
flüchtlingskonferenz,f,flüchtlingskonferenzen,en,train,
flüchtlingskontingent,n,flüchtlingskontingente,e,test,
flüchtlingskonvention,f,flüchtlingskonventionen,en,val,
flüchtlingskonvoi,m,flüchtlingskonvois,s,train,
flüchtlingskonzeption,f,flüchtlingskonzeptionen,en,train,
flüchtlingskrise,f,flüchtlingskrisen,n,train,
flüchtlingslager,n,flüchtlingslager,zero,train,
flüchtlingsmasse,f,flüchtlingsmassen,n,train,
flüchtlingsminister,m,flüchtlingsminister,zero,train,
flüchtlingsmädchen,n,flüchtlingsmädchen,zero,train,
flüchtlingsnot,f,flüchtlingsnöte,umlaut_e,test,ot
flüchtlingsorganisation,f,flüchtlingsorganisationen,en,train,
flüchtlingspartei,f,flüchtlingsparteien,en,train,
flüchtlingsproblem,n,flüchtlingsprobleme,e,train,
flüchtlingsproblematik,f,flüchtlingsproblematiken,en,train,
flüchtlingsprogramm,n,flüchtlingsprogramme,e,train,
flüchtlingsprojekt,n,flüchtlingsprojekte,e,train,
flüchtlingsquote,f,flüchtlingsquoten,n,train,
flüchtlingsrat,m,flüchtlingsräte,umlaut_e,val,
flüchtlingsreferent,m,flüchtlingsreferenten,en,test,
flüchtlingsrückführung,f,flüchtlingsrückführungen,en,train,
flüchtlingsschein,m,flüchtlingsscheine,e,train,
flüchtlingsschicksal,n,flüchtlingsschicksale,e,train,al
flüchtlingsschiff,n,flüchtlingsschiffe,e,train,
flüchtlingsschule,f,flüchtlingsschulen,n,train,
flüchtlingssiedlung,f,flüchtlingssiedlungen,en,train,
flüchtlingssituation,f,flüchtlingssituationen,en,val,
flüchtlingssprecher,m,flüchtlingssprecher,zero,train,
flüchtlingsstadt,f,flüchtlingsstädte,umlaut_e,test,
flüchtlingsstrom,m,flüchtlingsströme,umlaut_e,train,
flüchtlingstragödie,f,flüchtlingstragödien,n,train,
flüchtlingstransport,m,flüchtlingstransporte,e,train,
flüchtlingstreck,m,flüchtlingstrecks,s,train,
flüchtlingstrupp,m,flüchtlingstrupps,s,train,
flüchtlingsunterkunft,f,flüchtlingsunterkünfte,umlaut_e,val,
flüchtlingsverband,m,flüchtlingsverbände,umlaut_e,train,and
flüchtlingsvermögen,n,flüchtlingsvermögen,zero,train,
flüchtlingsverwaltung,f,flüchtlingsverwaltungen,en,test,
flüchtlingswaise,m,flüchtlingswaisen,n,train,
flüchtlingsweisung,f,flüchtlingsweisungen,en,train,
flüchtlingswelle,f,flüchtlingswellen,n,train,
flüchtlingswerk,n,flüchtlingswerke,e,train,
flüchtlingswohnheim,n,flüchtlingswohnheime,e,val,
flüchtlingswohnung,f,flüchtlingswohnungen,en,train,
flüchtlingszahl,f,flüchtlingszahlen,en,train,
flüchtlingszentrum,n,flüchtlingszentren,other,train,
flüchtlingszug,m,flüchtlingszüge,umlaut_e,test,
flügel,m,flügel,zero,train,
flügeladjutant,m,flügeladjutanten,en,train,
flügelaltar,m,flügelaltäre,umlaut_e,train,
flügelbauer,m,flügelbauern,n,val,
flügelbein,n,flügelbeine,e,train,
flügelbutt,m,flügelbutte,e,train,
flügelfell,n,flügelfelle,e,train,
flügelfenster,n,flügelfenster,zero,train,
flügelglas,n,flügelgläser,umlaut_er,test,
flügelhorn,n,flügelhörner,umlaut_er,train,
flügelkampf,m,flügelkämpfe,umlaut_e,train,
flügelkleid,n,flügelkleider,er,val,
flügelmutter,f,flügelmuttern,n,train,
flügelrad,n,flügelräder,umlaut_er,train,
flügelschlag,m,flügelschläge,umlaut_e,train,ag
flügelschnecke,f,flügelschnecken,n,train,
flügelspannweite,f,flügelspannweiten,n,train,
flügelstürmer,m,flügelstürmer,zero,test,
flügeltür,f,flügeltüren,en,train,
flügelzange,f,flügelzangen,n,val,
flüsschen,n,flüsschen,zero,train,
flüssiggas,n,flüssiggase,e,train,
flüssiggastank,,flüssiggastanks,s,train,
flüssiggastank,,flüssiggastanke,e,train,
flüssiggastanker,m,flüssiggastanker,zero,train,
flüssigkeit,f,flüssigkeiten,en,train,
flüssigkeitsbedarf,m,flüssigkeitsbedarfe,e,test,
flüssigkeitsmaß,n,flüssigkeitsmaße,e,val,
flüssigkeitsmenge,f,flüssigkeitsmengen,n,train,
flüssigkeitsverlust,m,flüssigkeitsverluste,e,train,
flüssigkristallbildschirm,m,flüssigkristallbildschirme,e,train,
flüssigseife,f,flüssigseifen,n,train,
flüsterasphalt,m,flüsterasphalte,e,train,
flüsterer,m,flüsterer,zero,train,
flüstergewölbe,n,flüstergewölbe,zero,train,
flüsterton,m,flüstertöne,umlaut_e,test,
focaccia,f,focaccias,s,train,
fock,f,focks,s,train,
fockmast,m,fockmasten,en,train,
focus-visual,n,focus-visuals,s,train,al
foggara,f,foggara,zero,train,
fogoschfilet,n,fogoschfilets,s,train,
fohlen,n,fohlen,zero,train,
fokus,m,fokusse,se,val,
fokuspartikel,f,fokuspartikeln,n,test,
folge,f,folgen,n,train,
folgeantrag,m,folgeanträge,umlaut_e,train,ag
folgejahr,n,folgejahre,e,train,
folgekosten,,folgekosten,zero,train,
folgemonat,,folgemonate,e,train,
folgerung,f,folgerungen,en,train,
folgesprache,f,folgesprachen,n,val,
folgetag,m,folgetage,e,train,ag
folgezug,m,folgezüge,umlaut_e,test,
folgmädchen,n,folgmädchen,zero,train,
folgsamkeit,f,folgsamkeiten,en,train,
foliant,m,folianten,en,train,
folie,f,folien,n,train,
folio,,folien,other,train,
folio,,folios,s,val,
folkloretanz,m,folkloretänze,umlaut_e,train,
folklorist,m,folkloristen,en,train,
follower,m,follower,zero,test,
folter,f,foltern,n,train,
folterbank,f,folterbänke,umlaut_e,train,
foltergefängnis,n,foltergefängnisse,se,train,
folterinstrument,n,folterinstrumente,e,train,
folterkammer,f,folterkammern,n,val,
folterknecht,m,folterknechte,e,train,
foltermethode,f,foltermethoden,n,train,
foltermord,m,foltermorde,e,train,
folterung,f,folterungen,en,test,
folterverbot,n,folterverbote,e,train,ot
fon,,fon,zero,train,
fonation,f,fonationen,en,train,
fond,m,fonds,s,val,
fonds,m,fonds,zero,train,
fondsmanager,m,fondsmanager,zero,train,
fondue,,fondues,s,train,
fontanelle,f,fontanellen,n,train,
fontäne,f,fontänen,n,test,
foodtruck,m,foodtrucks,s,train,
football,m,footballs,s,train,
footballmannschaft,f,footballmannschaften,en,val,
footballspieler,m,footballspieler,zero,train,
footballteam,n,footballteams,s,train,
forcierung,f,forcierungen,en,train,
forderer,m,forderer,zero,train,
forderung,f,forderungen,en,train,
forderungsverzicht,m,forderungsverzichte,e,test,
forelle,f,forellen,n,train,
forellenfilet,n,forellenfilets,s,val,
forenrollenspiel,n,forenrollenspiele,e,train,
forfaitierung,f,forfaitierungen,en,train,
forint,m,forints,s,train,
fork,m,forks,s,train,
forke,f,forken,n,train,
form,f,formen,en,train,
formalisierung,f,formalisierungen,en,test,
formalität,f,formalitäten,en,val,
formalwissenschaft,f,formalwissenschaften,en,train,
formant,m,formanten,en,train,
format,n,formate,e,train,
formatierung,f,formatierungen,en,train,
formation,f,formationen,en,train,
formationsregel,f,formationsregeln,n,train,
formationstanz,m,formationstänze,umlaut_e,train,
formativ,n,formative,e,test,
formatradio,n,formatradios,s,train,
formatvorlage,f,formatvorlagen,n,train,
formbaum,m,formbäume,umlaut_e,train,
formblatt,n,formblätter,umlaut_er,train,
formel,f,formeln,n,train,
formelsammlung,f,formelsammlungen,en,train,
formelzeichen,n,formelzeichen,zero,train,
formenlehre,f,formenlehren,n,val,
formensprache,f,formensprachen,n,test,
formikarium,n,formikarien,other,train,
formmangel,m,formmängel,umlaut_zero,train,
formmaschine,f,formmaschinen,n,train,
formschinken,m,formschinken,zero,train,
formstahl,m,formstahle,e,train,
formstein,m,formsteine,e,train,
formstück,n,formstücke,e,val,
formteil,n,formteile,e,train,
formular,n,formulare,e,test,
formularbuch,n,formularbücher,umlaut_er,train,
formulation,f,formulationen,en,train,
formulierung,f,formulierungen,en,train,
formverstoß,m,formverstöße,umlaut_e,train,
formveränderung,f,formveränderungen,en,train,
formwort,n,formwörter,umlaut_er,val,
forscher,m,forscher,zero,train,
forscherin,f,forscherinnen,nen,train,
forscherteam,n,forscherteams,s,test,
forschung,f,forschungen,en,train,
forschungsanlage,f,forschungsanlagen,n,train,
forschungsantrag,m,forschungsanträge,umlaut_e,train,ag
forschungsausgabe,f,forschungsausgaben,n,train,
forschungsbedarf,m,forschungsbedarfe,e,val,
forschungsbereich,m,forschungsbereiche,e,train,
forschungsdesiderat,n,forschungsdesiderate,e,train,
forschungseinrichtung,f,forschungseinrichtungen,en,train,
forschungsexpedition,f,forschungsexpeditionen,en,test,
forschungsfeld,n,forschungsfelder,er,train,
forschungsgebiet,n,forschungsgebiete,e,train,
forschungsinstitut,n,forschungsinstitute,e,train,
forschungsinteresse,n,forschungsinteressen,n,val,
forschungslabor,,forschungslabore,e,train,
forschungslabor,,forschungslabors,s,train,
forschungsliteratur,f,forschungsliteraturen,en,train,ur
forschungsobjekt,n,forschungsobjekte,e,train,
forschungsproblem,n,forschungsprobleme,e,test,
forschungsprojekt,n,forschungsprojekte,e,train,
forschungsrakete,f,forschungsraketen,n,train,
forschungsreaktor,m,forschungsreaktoren,en,val,
forschungsreise,f,forschungsreisen,n,train,
forschungsreisende,,forschungsreisende,zero,train,
forschungsreisende,,forschungsreisenden,n,train,
forschungsreisende,,forschungsreisende,zero,train,
forschungsreisender,,forschungsreisende,other,train,
forschungsreisender,,forschungsreisenden,other,test,
forschungsreisender,,forschungsreisende,other,train,
forschungsrichtung,f,forschungsrichtungen,en,val,
forschungssatellit,m,forschungssatelliten,en,train,
forschungsschiff,n,forschungsschiffe,e,train,
forschungsschwerpunkt,m,forschungsschwerpunkte,e,train,
forschungsstand,m,forschungsstände,umlaut_e,train,and
forschungsstation,f,forschungsstationen,en,train,
forschungszweck,m,forschungszwecke,e,train,
forstamt,n,forstämter,umlaut_er,test,
forstfrevel,m,forstfrevel,zero,val,
forsthaus,n,forsthäuser,umlaut_er,train,
forstmann,,forstmänner,umlaut_er,train,
forstmann,,forstleute,other,train,
forstung,f,forstungen,en,train,
forstwirt,m,forstwirte,e,train,
forstwirtschaft,f,forstwirtschaften,en,train,
forsythie,f,forsythien,n,train,
fort,n,forts,s,test,
fortbewegung,f,fortbewegungen,en,train,
fortbewegungsart,f,fortbewegungsarten,en,train,
fortbewegungsmittel,n,fortbewegungsmittel,zero,train,
fortdauer,f,–,other,train,
fortentwicklung,f,fortentwicklungen,en,train,
fortgang,m,fortgänge,umlaut_e,train,
fortgeschrittener,,fortgeschrittene,other,train,
fortgeschrittener,,fortgeschrittenen,other,val,
fortgeschrittener,,fortgeschrittene,other,test,
forth,n,forths,s,train,
fortifikation,f,fortifikationen,en,train,
fortluftkamin,m,fortluftkamine,e,train,
fortpflanzungsorgan,n,fortpflanzungsorgane,e,train,
fortschreibung,f,fortschreibungen,en,train,
fortschritt,m,fortschritte,e,train,
fortsetzung,f,fortsetzungen,en,val,
fortsetzungsroman,m,fortsetzungsromane,e,train,
forum,,foren,other,test,
forum,,fora,other,train,
forzeps,,forzipes,other,train,
fossa,f,fossae,e,train,
fossil,n,fossilien,other,train,
fossilie,f,fossilien,n,train,
fossilienfund,m,fossilienfunde,e,val,und
foto,m,fotos,s,train,
fotoalbum,n,fotoalben,other,train,
fotoapparat,m,fotoapparate,e,test,
fotoautomat,m,fotoautomaten,en,train,
fotobombe,f,fotobomben,n,train,
fotoecke,f,fotoecken,n,train,
fotofalle,f,fotofallen,n,train,
fotogeschäft,n,fotogeschäfte,e,val,
fotograf,m,fotografen,en,train,
fotografie,f,fotografien,n,train,
fotografin,f,fotografinnen,nen,train,
fotokatode,f,fotokatoden,n,test,
fotokopie,f,fotokopien,n,train,
fotokopiergerät,n,fotokopiergeräte,e,train,
fotomodell,n,fotomodelle,e,train,
fotomontage,f,fotomontagen,n,val,
foton,n,fotonen,en,train,
fotoshooting,n,fotoshootings,s,train,
fotosphäre,f,fotosphären,n,train,
fotostrecke,f,fotostrecken,n,train,
fotovervielfacher,m,fotovervielfacher,zero,test,
fotze,f,fotzen,n,train,
fotzelschnitte,f,fotzelschnitten,n,train,
fotzenhobel,m,fotzenhobel,zero,val,
fotzenknecht,m,fotzenknechte,e,train,
fotzenlecker,m,fotzenlecker,zero,train,
fotzenspangler,m,fotzenspangler,zero,train,
fotzhobel,m,fotzhobel,zero,train,
foul,n,fouls,s,train,
foulelfmeter,m,foulelfmeter,zero,test,
foulgrenze,f,foulgrenzen,n,train,
foulspiel,n,foulspiele,e,val,
fourball,,fourballs,s,train,
fourier,m,fouriere,e,train,
fourier-analyse,f,fourier-analysen,n,train,
fourier-synthese,f,fourier-synthesen,n,train,
foursome,,foursomes,s,train,
foxtrott,,foxtrotte,e,train,
foxtrott,,foxtrotts,s,test,
foyer,n,foyers,s,val,
fracht,f,frachten,en,train,
frachtbeförderung,f,frachtbeförderungen,en,train,
frachtbetrieb,m,frachtbetriebe,e,train,
frachtboot,n,frachtboote,e,train,ot
frachtbrief,m,frachtbriefe,e,train,
frachter,m,frachter,zero,train,
frachtflugzeug,n,frachtflugzeuge,e,train,
frachtgut,n,frachtgüter,umlaut_er,test,
frachthafen,m,frachthäfen,umlaut_zero,train,
frachtkahn,m,frachtkähne,umlaut_e,train,
frachtkosten,,frachtkosten,zero,train,
frachtpreis,m,frachtpreise,e,train,
frachtraum,m,frachträume,umlaut_e,train,
frachtschiff,n,frachtschiffe,e,train,
frachtsegler,m,frachtsegler,zero,train,
frachttarif,m,frachttarife,e,val,
frachtwert,m,frachtwerte,e,test,ert
frack,,fräcke,umlaut_e,train,
frack,,fracks,s,train,
frage,f,fragen,n,train,
frageadverb,n,frageadverbien,other,train,
fragebogen,,fragebogen,zero,train,
fragebogen,,fragebögen,umlaut_zero,train,
fragebogenaktion,f,fragebogenaktionen,en,val,
fragefürwort,n,fragefürwörter,umlaut_er,train,
fragenkatalog,m,fragenkataloge,e,test,
fragenkomplex,m,fragenkomplexe,e,train,
fragepronomen,,fragepronomen,zero,train,
fragepronomen,,fragepronomina,other,train,
frager,m,frager,zero,train,
fragerei,f,fragereien,en,train,
fragesatz,m,fragesätze,umlaut_e,val,
fragesteller,m,fragesteller,zero,train,
fragestellerin,f,fragestellerinnen,nen,train,
fragestellung,f,fragestellungen,en,test,
fragewort,n,fragewörter,umlaut_er,train,
fragewut,f,–,other,train,
fragezeichen,n,fragezeichen,zero,train,
fragment,n,fragmente,e,train,
fragmentierung,f,fragmentierungen,en,val,
fraktal,n,fraktale,e,train,al
